# UCD properties for code points an older interpreter cannot classify.
#
# scripts/gen_confusables.py reads every code point in data/confusables.txt through
# `unicodedata`, whose table is whatever the running Python ships. Under a table that
# predates the data a code point reads as `Cn`, the generator's rules cannot fire, and
# the output is wrong without being loud: a digit folds to a look-alike letter (#439),
# an uppercase source keeps TR39's lowercase prototype (#734).
#
# The generator prefers `unicodedata` and consults this file only on a `Cn` reading, so
# a newer interpreter is always authoritative and this file can never mask it.
#
# Contains every referenced code point that CPython 3.13 (UCD 15.1.0) reports as unassigned.
# Generated from Unicode 17.0.0 by CPython 3.15.0a1.
# Regenerate with: uv run --python 3.15 python scripts/gen_ucd_backfill.py
#
# codepoint	category	digit	nfkc	nfd	name
088F	Lo	-	-	-	ARABIC LETTER NOON WITH RING ABOVE
0C5C	Lo	-	-	-	TELUGU ARCHAIC SHRII
0CDC	Lo	-	-	-	KANNADA ARCHAIC SHRII
1AD9	Mn	-	-	-	COMBINING SHARP SIGN
1ADA	Mn	-	-	-	COMBINING FLAT SIGN
1ADB	Mn	-	-	-	COMBINING DOWN TACK ABOVE
1AE2	Mn	-	-	-	COMBINING MINUS SIGN ABOVE
1AE5	Mn	-	-	-	COMBINING SEAGULL ABOVE
1AE7	Mn	-	-	-	COMBINING DOUBLE ARCH ABOVE
1AE8	Mn	-	-	-	COMBINING EQUALS SIGN ABOVE
1AE9	Mn	-	-	-	COMBINING LEFT ANGLE CENTRED ABOVE
20C1	Sc	-	-	-	SAUDI RIYAL SIGN
2B96	So	-	-	-	EQUALS SIGN WITH INFINITY ABOVE
A7CE	Lu	-	-	-	LATIN CAPITAL LETTER PHARYNGEAL VOICED FRICATIVE
A7CF	Ll	-	-	-	LATIN SMALL LETTER PHARYNGEAL VOICED FRICATIVE
A7D2	Lu	-	-	-	LATIN CAPITAL LETTER DOUBLE THORN
A7D4	Lu	-	-	-	LATIN CAPITAL LETTER DOUBLE WYNN
A7DA	Lu	-	-	-	LATIN CAPITAL LETTER LAMBDA
A7DB	Ll	-	-	-	LATIN SMALL LETTER LAMBDA
A7DC	Lu	-	-	-	LATIN CAPITAL LETTER LAMBDA WITH STROKE
A7F1	Lm	-	0053	-	MODIFIER LETTER CAPITAL S
10EC6	Lo	-	-	-	ARABIC LETTER THIN NOON
10EC7	Lo	-	-	-	ARABIC LETTER YEH WITH FOUR DOTS BELOW
10ED0	Po	-	-	-	ARABIC BIBLICAL END OF VERSE
10EFA	Mn	-	-	-	ARABIC DOUBLE VERTICAL BAR BELOW
11B60	Mn	-	-	-	SHARADA VOWEL SIGN OE
11B62	Mn	-	-	-	SHARADA VOWEL SIGN UE
11B63	Mn	-	-	-	SHARADA VOWEL SIGN UUE
11B64	Mn	-	-	-	SHARADA VOWEL SIGN SHORT E
11B66	Mn	-	-	-	SHARADA VOWEL SIGN CANDRA E
11DD9	Lm	-	-	-	TOLONG SIKI SIGN SELA
11DDA	Lo	-	-	-	TOLONG SIKI SIGN HECAKA
11DE0	Nd	0	-	-	TOLONG SIKI DIGIT ZERO
11DE1	Nd	1	-	-	TOLONG SIKI DIGIT ONE
16EA6	Lu	-	-	-	BERIA ERFE CAPITAL LETTER HIRDEABO
16EAA	Lu	-	-	-	BERIA ERFE CAPITAL LETTER LAKKO
16EB6	Lu	-	-	-	BERIA ERFE CAPITAL LETTER UI
16EC1	Ll	-	-	-	BERIA ERFE SMALL LETTER HIRDEABO
16ED1	Ll	-	-	-	BERIA ERFE SMALL LETTER UI
16FF2	Lm	-	-	-	CHINESE SMALL SIMPLIFIED ER
16FF3	Lm	-	-	-	CHINESE SMALL TRADITIONAL ER
1CCD6	So	-	0041	-	OUTLINED LATIN CAPITAL LETTER A
1CCD7	So	-	0042	-	OUTLINED LATIN CAPITAL LETTER B
1CCD8	So	-	0043	-	OUTLINED LATIN CAPITAL LETTER C
1CCD9	So	-	0044	-	OUTLINED LATIN CAPITAL LETTER D
