# Unicode CaseFolding.txt status C+F entries (Unicode 16.0)
# Format: HEX_CODEPOINT	folded_string
0041	a
0042	b
0043	c
0044	d
0045	e
0046	f
0047	g
0048	h
0049	i
004A	j
004B	k
004C	l
004D	m
004E	n
004F	o
0050	p
0051	q
0052	r
0053	s
0054	t
0055	u
0056	v
0057	w
0058	x
0059	y
005A	z
00B5	μ
00C0	à
00C1	á
00C2	â
00C3	ã
00C4	ä
00C5	å
00C6	æ
00C7	ç
00C8	è
00C9	é
00CA	ê
00CB	ë
00CC	ì
00CD	í
00CE	î
00CF	ï
00D0	ð
00D1	ñ
00D2	ò
00D3	ó
00D4	ô
00D5	õ
00D6	ö
00D8	ø
00D9	ù
00DA	ú
00DB	û
00DC	ü
00DD	ý
00DE	þ
00DF	ss
0100	ā
0102	ă
0104	ą
0106	ć
0108	ĉ
010A	ċ
010C	č
010E	ď
0110	đ
0112	ē
0114	ĕ
0116	ė
0118	ę
011A	ě
011C	ĝ
011E	ğ
0120	ġ
0122	ģ
0124	ĥ
0126	ħ
0128	ĩ
012A	ī
012C	ĭ
012E	į
0130	i̇
0132	ĳ
0134	ĵ
0136	ķ
0139	ĺ
013B	ļ
013D	ľ
013F	ŀ
0141	ł
0143	ń
0145	ņ
0147	ň
0149	ʼn
014A	ŋ
014C	ō
014E	ŏ
0150	ő
0152	œ
0154	ŕ
0156	ŗ
0158	ř
015A	ś
015C	ŝ
015E	ş
0160	š
0162	ţ
0164	ť
0166	ŧ
0168	ũ
016A	ū
016C	ŭ
016E	ů
0170	ű
0172	ų
0174	ŵ
0176	ŷ
0178	ÿ
0179	ź
017B	ż
017D	ž
017F	s
0181	ɓ
0182	ƃ
0184	ƅ
0186	ɔ
0187	ƈ
0189	ɖ
018A	ɗ
018B	ƌ
018E	ǝ
018F	ə
0190	ɛ
0191	ƒ
0193	ɠ
0194	ɣ
0196	ɩ
0197	ɨ
0198	ƙ
019C	ɯ
019D	ɲ
019F	ɵ
01A0	ơ
01A2	ƣ
01A4	ƥ
01A6	ʀ
01A7	ƨ
01A9	ʃ
01AC	ƭ
01AE	ʈ
01AF	ư
01B1	ʊ
01B2	ʋ
