# TR39 confusable sources grouped by the script of their prototype (#963).
#
# `sources` is how many single-code-point sources in confusables.txt 17.0.0 have a
# prototype in this script; `folded` is how many of those some bundled fold
# table reaches. A script with no bundled table reports `0 of N` rather than
# the whole source population, which is what makes the figure one that can
# improve.
#
# The script property is the UCD's, from Scripts.txt 17.0.0, and not
# disarm's curated block table: that table has no range for 207 of the
# prototypes, and they are not all Common — Yi and Siddham letters are among
# them. Reading it from the UCD also keeps the census from being scored
# against disarm's own table twice.
#
# Generated by scripts/gen_confusable_census.py - see docs/provenance.md.
# script	sources	folded
Arabic	933	150
Armenian	21	0
Balinese	5	0
Bamum	1	0
Bengali	44	0
Bhaiksuki	1	0
Bopomofo	3	0
Canadian_Aboriginal	143	0
Carian	8	3
Cham	2	0
Cherokee	1	0
Common	893	436
Cyrillic	37	23
Deseret	2	0
Devanagari	51	0
Ethiopic	4	0
Glagolitic	1	0
Greek	159	71
Gujarati	7	0
Gurmukhi	5	0
Han	1393	0
Hangul	400	0
Hebrew	24	4
Hiragana	1	0
Inherited	143	0
Javanese	2	0
Kannada	2	0
Katakana	1	0
Kharoshthi	1	0
Khmer	2	0
Lao	2	0
Latin	1985	1833
Lepcha	1	0
Lisu	11	0
Malayalam	26	0
Marchen	1	0
Meroitic_Hieroglyphs	2	0
Miao	1	0
Modi	1	0
Mongolian	2	0
Myanmar	11	0
New_Tai_Lue	2	0
Newa	7	0
Ol_Chiki	1	0
Old_Hungarian	2	0
Oriya	2	0
Osmanya	1	0
Pau_Cin_Hau	13	0
Runic	24	0
Sharada	6	0
Siddham	6	0
Sinhala	12	0
Syriac	1	0
Tagalog	1	0
Tai_Tham	4	0
Tamil	41	0
Telugu	40	0
Thai	32	0
Tibetan	14	0
Tifinagh	8	0
Ugaritic	3	0
Yi	12	0
