# Decimal numbering systems — UCD 17.0.0 Numeric_Type=Decimal.
# One row per system: the code point of its ZERO. The system spans ten code
# points, so a digit belongs to it when `cp - decimal_value` equals this.
# Generated by scripts/gen_decimal_digit_zeros.py — see docs/provenance.md.
#
# zero	name
0030	DIGIT ZERO
0660	ARABIC-INDIC DIGIT ZERO
06F0	EXTENDED ARABIC-INDIC DIGIT ZERO
07C0	NKO DIGIT ZERO
0966	DEVANAGARI DIGIT ZERO
09E6	BENGALI DIGIT ZERO
0A66	GURMUKHI DIGIT ZERO
0AE6	GUJARATI DIGIT ZERO
0B66	ORIYA DIGIT ZERO
0BE6	TAMIL DIGIT ZERO
0C66	TELUGU DIGIT ZERO
0CE6	KANNADA DIGIT ZERO
0D66	MALAYALAM DIGIT ZERO
0DE6	SINHALA LITH DIGIT ZERO
0E50	THAI DIGIT ZERO
0ED0	LAO DIGIT ZERO
0F20	TIBETAN DIGIT ZERO
1040	MYANMAR DIGIT ZERO
1090	MYANMAR SHAN DIGIT ZERO
17E0	KHMER DIGIT ZERO
1810	MONGOLIAN DIGIT ZERO
1946	LIMBU DIGIT ZERO
19D0	NEW TAI LUE DIGIT ZERO
1A80	TAI THAM HORA DIGIT ZERO
1A90	TAI THAM THAM DIGIT ZERO
1B50	BALINESE DIGIT ZERO
1BB0	SUNDANESE DIGIT ZERO
1C40	LEPCHA DIGIT ZERO
1C50	OL CHIKI DIGIT ZERO
A620	VAI DIGIT ZERO
A8D0	SAURASHTRA DIGIT ZERO
A900	KAYAH LI DIGIT ZERO
A9D0	JAVANESE DIGIT ZERO
A9F0	MYANMAR TAI LAING DIGIT ZERO
AA50	CHAM DIGIT ZERO
ABF0	MEETEI MAYEK DIGIT ZERO
FF10	FULLWIDTH DIGIT ZERO
104A0	OSMANYA DIGIT ZERO
10D30	HANIFI ROHINGYA DIGIT ZERO
10D40	GARAY DIGIT ZERO
11066	BRAHMI DIGIT ZERO
110F0	SORA SOMPENG DIGIT ZERO
11136	CHAKMA DIGIT ZERO
111D0	SHARADA DIGIT ZERO
112F0	KHUDAWADI DIGIT ZERO
11450	NEWA DIGIT ZERO
114D0	TIRHUTA DIGIT ZERO
11650	MODI DIGIT ZERO
116C0	TAKRI DIGIT ZERO
116D0	MYANMAR PAO DIGIT ZERO
116DA	MYANMAR EASTERN PWO KAREN DIGIT ZERO
11730	AHOM DIGIT ZERO
118E0	WARANG CITI DIGIT ZERO
11950	DIVES AKURU DIGIT ZERO
11BF0	SUNUWAR DIGIT ZERO
11C50	BHAIKSUKI DIGIT ZERO
11D50	MASARAM GONDI DIGIT ZERO
11DA0	GUNJALA GONDI DIGIT ZERO
11DE0	TOLONG SIKI DIGIT ZERO
11F50	KAWI DIGIT ZERO
16130	GURUNG KHEMA DIGIT ZERO
16A60	MRO DIGIT ZERO
16AC0	TANGSA DIGIT ZERO
16B50	PAHAWH HMONG DIGIT ZERO
16D70	KIRAT RAI DIGIT ZERO
1CCF0	OUTLINED DIGIT ZERO
1D7CE	MATHEMATICAL BOLD DIGIT ZERO
1D7D8	MATHEMATICAL DOUBLE-STRUCK DIGIT ZERO
1D7E2	MATHEMATICAL SANS-SERIF DIGIT ZERO
1D7EC	MATHEMATICAL SANS-SERIF BOLD DIGIT ZERO
1D7F6	MATHEMATICAL MONOSPACE DIGIT ZERO
1E140	NYIAKENG PUACHUE HMONG DIGIT ZERO
1E2F0	WANCHO DIGIT ZERO
1E4F0	NAG MUNDARI DIGIT ZERO
1E5F1	OL ONAL DIGIT ZERO
1E950	ADLAM DIGIT ZERO
1FBF0	SEGMENTED DIGIT ZERO
