2010	hyphen
2013	en dash
2014	em dash
2015	horizontal bar
2018	left apostrophe
2019	right apostrophe
201A	low right apostrophe
201C	left quotation mark
201D	right quotation mark
201E	low right quotation mark
2020	dagger sign
2021	double dagger sign
2022	bullet
2026	ellipsis
2027	hyphenation point
2030	per mille
2032	prime
2033	double prime
2034	triple prime
2038	caret
203B	reference mark
203C	double exclamation mark
203D	interrobang
203E	overline
2042	asterism
2044	fraction slash
2049	exclamation question mark
207B	superscript minus
20A1	Costa Rican Colón
20A2	cruzeiro
20A3	french franc
20A4	lira
20A5	mill
20A6	Nigerian Naira
20A7	Spanish Peseta
20A8	rupee
20A9	won
20AA	Israeli New Shekel
20AB	Vietnamese Dong
20AC	euro
20AD	Laotian Kip
20AE	Mongolian Tugrik
20B0	german penny
20B1	peso
20B2	Paraguayan Guarani
20B3	austral
20B4	Ukrainian Hryvnia
20B5	Ghanaian Cedi
20B6	livre tournois
20B7	spesmilo
20B8	Kazakhstani Tenge
20B9	indian rupee
20BA	Turkish Lira
20BC	Azerbaijani Manat
20BD	ruble
20BE	Georgian Lari
20BF	bitcoin
2117	sound recording copyright
2122	trade mark
2139	information
2190	left-pointing arrow
2191	up-pointing arrow
2192	right-pointing arrow
2193	down-pointing arrow
2194	left-right arrow
2195	up-down arrow
2196	up-left arrow
2197	up-right arrow
2198	down-right arrow
2199	down-left arrow
219A	leftwards arrow stroke
219B	rightwards arrow stroke
219C	leftwards wave arrow
219D	rightwards wave arrow
219E	leftwards two headed arrow
219F	upwards two headed arrow
21A0	rightwards two headed arrow
21A1	downwards two headed arrow
21A2	leftwards arrow tail
21A3	rightwards arrow tail
21A4	leftwards arrow from bar
21A5	upwards arrow from bar
21A6	rightwards arrow from bar
21A7	downwards arrow from bar
21A8	up down arrow with base
21A9	right arrow curving left
21AA	left arrow curving right
21AB	leftwards arrow loop
21AC	rightwards arrow loop
21AD	left right wave arrow
21AE	left right arrow stroke
21AF	downwards zigzag arrow
21B0	upwards arrow tip leftwards
21B1	upwards arrow tip rightwards
21B2	downwards arrow tip leftwards
21B3	downwards arrow tip rightwards
21B4	rightwards arrow corner downwards
21B5	downwards arrow corner leftwards
21B6	anticlockwise top semicircle arrow
21B7	clockwise top semicircle arrow
21B8	north west arrow long bar
21B9	leftwards over rightwards arrow bars
21BA	anticlockwise open circle arrow
21BB	clockwise open circle arrow
21BC	leftwards harpoon barb upwards
21BD	leftwards harpoon barb downwards
21BE	upwards harpoon barb rightwards
21BF	upwards harpoon barb leftwards
21C0	rightwards harpoon barb upwards
21C1	rightwards harpoon barb downwards
21C2	downwards harpoon barb rightwards
21C3	downwards harpoon barb leftwards
21C4	rightwards arrow over leftwards arrow
21C5	up-pointing and down-pointing arrows
21C6	left-pointing over right-pointing arrows
21C7	leftwards paired arrows
21C8	upwards paired arrows
21C9	rightwards paired arrows
21CA	downwards paired arrows
21CB	leftwards harpoon over rightwards harpoon
21CC	rightwards harpoon over leftwards harpoon
21CD	leftwards double arrow stroke
21CE	left right double arrow stroke
21CF	rightwards double arrow stroke
21D0	leftwards double arrow
21D1	upwards double arrow
21D2	rightwards double arrow
21D3	downwards double arrow
21D4	left right double arrow
21D6	north west double arrow
21D7	north east double arrow
21D8	south east double arrow
21D9	south west double arrow
21DA	leftwards triple arrow
21DB	rightwards triple arrow
21DC	leftwards squiggle arrow
21DD	rightwards squiggle arrow
21DE	upwards arrow double stroke
21DF	downwards arrow double stroke
21E0	leftwards dashed arrow
21E1	upwards dashed arrow
21E2	rightwards dashed arrow
21E3	downwards dashed arrow
21E4	leftwards arrow bar
21E5	rightwards arrow bar
21E6	leftwards hollow arrow
21E7	upwards hollow arrow
21E8	rightwards hollow arrow
21E9	downwards hollow arrow
21EA	upwards hollow arrow from bar
21F5	downwards arrow leftwards upwards arrow
2200	for all
2202	partial differential
2203	there exists
2205	empty set
2206	increment
2207	nabla
2208	element of
2209	not an element
220B	contains as member
220E	end proof
220F	n-ary product
2211	n-ary summation
2212	minus sign
2213	minus-or-plus
2215	division slash
2217	asterisk operator
2218	ring operator
2219	bullet operator
221A	square root
221D	proportional
221E	infinity sign
221F	right angle
2220	angle
2223	divides
2225	parallel
2227	logical and
2229	intersection
222A	union
222B	integral
222C	double integral
222E	contour integral
2234	therefore
2235	because
2236	ratio
2237	proportion
223C	tilde operator
223D	reversed tilde
223E	inverted lazy s
2243	asymptotically equal
2245	approximately equal
2248	almost equal
224C	all equal
2252	approximately equal the image
2256	ring in equal
2260	not equal
2261	identical to
2263	strictly equivalent
2264	less-than or equal
2265	greater-than or equal
2266	less-than over equal
2267	greater-than over equal
226A	much less-than
226B	much greater-than
226C	between
226E	not less-than
226F	not greater-than
2273	greater-than equivalent
227A	precedes
227B	succeeds
2281	does not succeed
2282	subset of
2283	superset
2286	subset equal
2287	superset equal
2295	circled plus
2296	circled minus
2297	circled times
2298	circled division slash
2299	circled dot operator
229A	circled ring operator
229B	circled asterisk operator
229E	squared plus
229F	squared minus
22A5	up tack
22AE	does not force
22B0	precedes under relation
22B1	succeeds under relation
22B6	original
22B9	hermitian conjugate matrix
22BF	right triangle
22C1	n-ary logical or
22C2	n-ary intersection
22C3	n-ary union
22C5	dot operator
22C6	star operator
22C8	natural join
22D2	double intersection
22D8	very much less-than
22D9	very much greater-than
22ED	does not contain as normal subgroup equal
22EE	vertical ellipsis
22EF	midline horizontal ellipsis
22F0	up right diagonal ellipsis
22F1	down right diagonal ellipsis
231A	watch
231B	hourglass done
2328	keyboard
23CF	eject button
23E9	fast-forward button
23EA	fast reverse button
23EB	fast up button
23EC	fast down button
23ED	next track button
23EE	last track button
23EF	play or pause button
23F0	alarm clock
23F1	stopwatch
23F2	timer clock
23F3	hourglass not done
23F8	pause button
23F9	stop button
23FA	record button
24C2	circled M
25A0	filled square
25A1	hollow square
25A2	hollow square with rounded corners
25A3	hollow square containing filled square
25A4	square with horizontal fill
25A5	square with vertical fill
25A6	square orthogonal crosshatch fill
25A7	square upper left lower right fill
25A8	square upper right lower left fill
25A9	square diagonal crosshatch fill
25AA	black small square
25AB	white small square
25AC	filled rectangle
25AD	hollow rectangle
25AE	filled vertical rectangle
25B0	filled parallelogram
25B2	filled up-pointing triangle
25B3	hollow up-pointing triangle
25B4	filled up-pointing small triangle
25B5	hollow up-pointing small triangle
25B6	play button
25B7	hollow right-pointing triangle
25B8	filled right-pointing small triangle
25B9	hollow right-pointing small triangle
25BA	filled right-pointing pointer
25BB	hollow right-pointing pointer
25BC	filled down-pointing triangle
25BD	hollow down-pointing triangle
25BE	filled down-pointing small triangle
25BF	hollow down-pointing small triangle
25C0	reverse button
25C1	hollow left-pointing triangle
25C2	filled left-pointing small triangle
25C3	hollow left-pointing small triangle
25C4	filled left-pointing pointer
25C5	hollow left-pointing pointer
25C6	filled diamond
25C7	hollow diamond
25C8	hollow diamond containing filled diamond
25C9	hollow circle containing filled circle
25CA	lozenge
25CB	hollow circle
25CC	dotted circle
25CD	circle with vertical fill
25CE	concentric circles
25CF	filled circle
25D0	circle left half filled
25D1	circle right half filled
25D2	circle lower half filled
25D3	circle upper half filled
25D4	circle upper right quadrant filled
25D5	circle all but upper left quadrant filled
25D6	left half filled circle
25D7	right half filled circle
25D8	inverse bullet
25D9	filled square containing hollow circle
25DC	upper left quadrant circular arc
25DD	upper right quadrant circular arc
25DE	lower right quadrant circular arc
25DF	lower left quadrant circular arc
25E0	upper half circle
25E1	lower half circle
25E2	filled lower right triangle
25E3	filled lower left triangle
25E4	filled upper left triangle
25E5	filled upper right triangle
25E6	hollow bullet
25EF	large hollow circle
25F3	hollow square upper right quadrant
25F7	hollow circle with upper right quadrant
25FB	white medium square
25FC	black medium square
25FD	white medium-small square
25FE	black medium-small square
25FF	lower right triangle
2600	sun
2601	cloud
2602	umbrella
2603	snowman
2604	comet
260E	telephone
2611	check box with check
2614	umbrella with rain drops
2615	hot beverage
2618	shamrock
261D	index pointing up
2620	skull and crossbones
2622	radioactive
2623	biohazard
2626	orthodox cross
262A	star and crescent
262E	peace symbol
262F	yin yang
2638	wheel of dharma
2639	frowning face
263A	smiling face
2640	female sign
2642	male sign
2648	Aries
2649	Taurus
264A	Gemini
264B	Cancer
264C	Leo
264D	Virgo
264E	Libra
264F	Scorpio
2650	Sagittarius
2651	Capricorn
2652	Aquarius
2653	Pisces
265F	chess pawn
2660	spade suit
2663	club suit
2665	heart suit
2666	diamond suit
2668	hot springs
266A	eighth note
266D	flat
266F	sharp
267B	recycling symbol
267E	infinity
267F	wheelchair symbol
2692	hammer and pick
2693	anchor
2694	crossed swords
2695	medical symbol
2696	balance scale
2697	alembic
2699	gear
269B	atom symbol
269C	fleur-de-lis
26A0	warning
26A1	high voltage
26A7	transgender symbol
26AA	white circle
26AB	black circle
26B0	coffin
26B1	funeral urn
26BD	soccer ball
26BE	baseball
26C4	snowman without snow
26C5	sun behind cloud
26C8	cloud with lightning and rain
26CE	Ophiuchus
26CF	pick
26D1	rescue worker’s helmet
26D3	chains
26D4	no entry
26E9	shinto shrine
26EA	church
26F0	mountain
26F1	umbrella on ground
26F2	fountain
26F3	flag in hole
26F4	ferry
26F5	sailboat
26F7	skier
26F8	ice skate
26F9	person bouncing ball
26FA	tent
26FD	fuel pump
2702	scissors
2705	check mark button
2708	airplane
2709	envelope
270A	raised fist
270B	raised hand
270C	victory hand
270D	writing hand
270F	pencil
2712	black nib
2714	check mark
2716	multiply
271D	latin cross
2721	star of David
2728	sparkles
2733	eight-spoked asterisk
2734	eight-pointed star
2744	snowflake
2747	sparkle
274C	cross mark
274E	cross mark button
2753	red question mark
2754	white question mark
2755	white exclamation mark
2757	red exclamation mark
2763	heart exclamation
2764	red heart
2795	plus
2796	minus
2797	divide
27A1	right arrow
27B0	curly loop
27BF	double curly loop
2934	right arrow curving up
2935	right arrow curving down
2A27	plus subscript two
2A2F	vector cross product
2A3C	interior product
2A63	logical or double underbar
2A7D	less-than slanted equal
2A8D	less-than above similar equal
2A9A	double-line equal greater-than
2ABA	succeeds above not almost equal
2B05	left arrow
2B06	up arrow
2B07	down arrow
2B1B	black large square
2B1C	white large square
2B50	star
2B55	hollow red circle
3001	ideographic comma
3002	ideographic period
3008	open angle bracket
3009	close angle bracket
300A	open double angle bracket
300B	close double angle bracket
300C	open corner bracket
300D	close corner bracket
300E	open hollow corner bracket
300F	close hollow corner bracket
3010	open black lens bracket
3011	close black lens bracket
3014	open tortoise shell bracket
3015	close tortoise shell bracket
3016	open hollow lens bracket
3017	close hollow lens bracket
3030	wavy dash
303D	part alternation mark
30FB	katakana middle dot
3297	Japanese “congratulations” button
3299	Japanese “secret” button
FDFC	rial
1F004	mahjong red dragon
1F0CF	joker
1F170	A button (blood type)
1F171	B button (blood type)
1F17E	O button (blood type)
1F17F	P button
1F18E	AB button (blood type)
1F191	CL button
1F192	COOL button
1F193	FREE button
1F194	ID button
1F195	NEW button
1F196	NG button
1F197	OK button
1F198	SOS button
1F199	UP! button
1F19A	VS button
1F201	Japanese “here” button
1F202	Japanese “service charge” button
1F21A	Japanese “free of charge” button
1F22F	Japanese “reserved” button
1F232	Japanese “prohibited” button
1F233	Japanese “vacancy” button
1F234	Japanese “passing grade” button
1F235	Japanese “no vacancy” button
1F236	Japanese “not free of charge” button
1F237	Japanese “monthly amount” button
1F238	Japanese “application” button
1F239	Japanese “discount” button
1F23A	Japanese “open for business” button
1F250	Japanese “bargain” button
1F251	Japanese “acceptable” button
1F300	cyclone
1F301	foggy
1F302	closed umbrella
1F303	night with stars
1F304	sunrise over mountains
1F305	sunrise
1F306	cityscape at dusk
1F307	sunset
1F308	rainbow
1F309	bridge at night
1F30A	water wave
1F30B	volcano
1F30C	milky way
1F30D	globe showing Europe-Africa
1F30E	globe showing Americas
1F30F	globe showing Asia-Australia
1F310	globe with meridians
1F311	new moon
1F312	waxing crescent moon
1F313	first quarter moon
1F314	waxing gibbous moon
1F315	full moon
1F316	waning gibbous moon
1F317	last quarter moon
1F318	waning crescent moon
1F319	crescent moon
1F31A	new moon face
1F31B	first quarter moon face
1F31C	last quarter moon face
1F31D	full moon face
1F31E	sun with face
1F31F	glowing star
1F320	shooting star
1F321	thermometer
1F324	sun behind small cloud
1F325	sun behind large cloud
