# GENERATED by scripts/gen_excluded_compositions.py — do not edit.
# fully-canonically-decomposed cluster (space-separated hex) -> precomposed scalar
0308 0301	0344
05D0 05B7	FB2E
05D0 05B8	FB2F
05D0 05BC	FB30
05D1 05BC	FB31
05D1 05BF	FB4C
05D2 05BC	FB32
05D3 05BC	FB33
05D4 05BC	FB34
05D5 05B9	FB4B
05D5 05BC	FB35
05D6 05BC	FB36
05D8 05BC	FB38
05D9 05B4	FB1D
05D9 05BC	FB39
05DA 05BC	FB3A
05DB 05BC	FB3B
05DB 05BF	FB4D
05DC 05BC	FB3C
05DE 05BC	FB3E
05E0 05BC	FB40
05E1 05BC	FB41
05E3 05BC	FB43
05E4 05BC	FB44
05E4 05BF	FB4E
05E6 05BC	FB46
05E7 05BC	FB47
05E8 05BC	FB48
05E9 05BC	FB49
05E9 05C1	FB2A
05E9 05C2	FB2B
05EA 05BC	FB4A
05F2 05B7	FB1F
0915 093C	0958
0916 093C	0959
0917 093C	095A
091C 093C	095B
0921 093C	095C
0922 093C	095D
092B 093C	095E
092F 093C	095F
09A1 09BC	09DC
09A2 09BC	09DD
09AF 09BC	09DF
0A16 0A3C	0A59
0A17 0A3C	0A5A
0A1C 0A3C	0A5B
0A2B 0A3C	0A5E
0A32 0A3C	0A33
0A38 0A3C	0A36
0B21 0B3C	0B5C
0B22 0B3C	0B5D
0F40 0FB5	0F69
0F42 0FB7	0F43
0F4C 0FB7	0F4D
0F51 0FB7	0F52
0F56 0FB7	0F57
0F5B 0FB7	0F5C
0F71 0F72	0F73
0F71 0F74	0F75
0F71 0F80	0F81
0F90 0FB5	0FB9
0F92 0FB7	0F93
0F9C 0FB7	0F9D
0FA1 0FB7	0FA2
0FA6 0FB7	0FA7
0FAB 0FB7	0FAC
0FB2 0F80	0F76
0FB3 0F80	0F78
05E9 05BC 05C1	FB2C
05E9 05BC 05C2	FB2D
