# Code points the block table in src/scripts.rs would give a script, and that
# the UCD gives Script=Common (start	end, inclusive, hex; then the block's script).
#
# detect_char_script answers Common for these. Script=Inherited marks are
# deliberately not listed: see the docstring of the generator.
#
# UCD 17.0.0 Scripts.txt (data/Scripts.txt), 50 code points.
# Generated by scripts/gen_script_common_carveouts.py. Do not hand-edit.
00D7	00D7	Latin
00F7	00F7	Latin
0374	0374	Greek
037E	037E	Greek
0385	0385	Greek
0387	0387	Greek
0605	0605	Arabic
060C	060C	Arabic
061B	061B	Arabic
061F	061F	Arabic
0640	0640	Arabic
06DD	06DD	Arabic
08E2	08E2	Arabic
0964	0965	Devanagari
0E3F	0E3F	Thai
0FD5	0FD8	Tibetan
10FB	10FB	Georgian
16EB	16ED	Runic
1735	1736	Hanunoo
1802	1803	Mongolian
1805	1805	Mongolian
309B	309C	Hiragana
30A0	30A0	Katakana
30FB	30FC	Katakana
A720	A721	Latin
A788	A78A	Latin
A9CF	A9CF	Javanese
AB5B	AB5B	Latin
AB6A	AB6B	Latin
FD3E	FD3F	Arabic
FEFF	FEFF	Arabic
FF65	FF65	Katakana
FF70	FF70	Katakana
FF9E	FF9F	Katakana
