# Persian (Farsi) transliteration overrides
# Based on UN romanization of Persian (UNGEGN) and common conventions
#
# Persian shares the Arabic script but has 4 extra letters (پ چ ژ گ),
# different vowel pronunciation, and distinct romanization conventions.
# The default table already provides base Arabic mappings; this table
# overrides characters where Persian pronunciation differs from Arabic.

# === Persian-specific letters (already in default, but explicit) ===
067E	p
0686	ch
0698	zh
06AF	g

# === Letters with different Persian pronunciation ===
# Arabic ث (thaa) = "th" → Persian = "s"
062B	s
# Arabic ذ (dhal) = "dh" → Persian = "z"
0630	z
# Arabic ص (sad) = "s" → Persian = "s" (same, but explicit)
0635	s
# Arabic ض (dad) = "d" → Persian = "z"
0636	z
# Arabic ط (ta) = "t" → Persian = "t" (same)
0637	t
# Arabic ظ (za) = "z" → Persian = "z"
0638	z
# Arabic ع (ain) → Persian typically omits or uses "'"
0639	'
# Arabic ة (taa marbuta) → Persian: "eh" or "e"
0629	e
# Arabic ك (kaf, U+0643) → Persian uses U+06A9 (kaf) instead,
# but in case Arabic kaf appears: "k"
0643	k

# === Persian vowels ===
# Alef with madda (آ) — "aa" in Persian
0622	aa
# Alef (ا) — "a" in Persian
0627	a
# Waw (و) — can be "v", "u", "o" in Persian; default to "v" for consonantal
0648	v
# Yeh (ی, U+06CC) — "y" or "i" in Persian
06CC	y

# === Persian-specific characters ===
# Hamza (ء)
0621	'
# Alef with hamza above (أ)
0623	a
# Alef with hamza below (إ)
0625	e
# Waw with hamza (ؤ)
0624	v
# Yeh with hamza (ئ)
0626	y

# === Persian (Eastern Arabic-Indic) digits ===
06F0	0
06F1	1
06F2	2
06F3	3
06F4	4
06F5	5
06F6	6
06F7	7
06F8	8
06F9	9

# === Common Persian punctuation ===
060C	,
061B	;
061F	?
06D4	.

# === Persian Yeh variants ===
# Arabic yaa (ي, U+064A) → in Persian context: "y"
064A	y
# Farsi yeh (ی, U+06CC) → "y"
06CC	y
# Alef maqsura (ى, U+0649) → "a" in Persian
0649	a

# === Diacritics (harakat) ===
# fathah
064E	a
# kasra
0650	e
# damma
064F	o
# tanwin fath
064B	an
# tanwin kasr
064D	en
# tanwin damm
064C	on
# sukun — suppress vowel
0652
# shadda — gemination (doubled consonant, handled by push)
0651

# === Additional Persian characters ===
# Heh with yeh above (ۀ) — izafe
06C0	-ye
# Heh goal (ہ) — sometimes used in Persian
06C1	h
# Keheh (ک, U+06A9) — standard Persian kaf
06A9	k
